start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4558 -135_0.233669|-120_0.2337|-105_0.233707|-90_0.233694|-75_0.233666|-60_0.23363|-45_0.23359|-30_0.233549|-15_0.23351|0_0.233476|15_0.233446|30_0.233423|45_0.233405|60_0.233393|75_0.233386|90_0.233385|105_0.233388|120_0.233398|135_0.233416|
[DEBUG] 4559 -135_0.233669|-120_0.2337|-105_0.233707|-90_0.233694|-75_0.233666|-60_0.23363|-45_0.23359|-30_0.233549|-15_0.23351|0_0.233476|15_0.233446|30_0.233423|45_0.233405|60_0.233393|75_0.233386|90_0.233385|105_0.233388|120_0.233398|135_0.233416|
[DEBUG] 4560 -135_0.233669|-120_0.2337|-105_0.233707|-90_0.233694|-75_0.233666|-60_0.23363|-45_0.23359|-30_0.233549|-15_0.23351|0_0.233476|15_0.233446|30_0.233423|45_0.233405|60_0.233393|75_0.233386|90_0.233385|105_0.233388|120_0.233398|135_0.233416|
[DEBUG] 4561 -135_0.233697|-120_0.233725|-105_0.233729|-90_0.233712|-75_0.233681|-60_0.233643|-45_0.233601|-30_0.23356|-15_0.233521|0_0.233486|15_0.233457|30_0.233434|45_0.233417|60_0.233405|75_0.2334|90_0.233399|105_0.233403|120_0.233415|135_0.233434|
[DEBUG] 4562 -135_0.233697|-120_0.233725|-105_0.233729|-90_0.233712|-75_0.233681|-60_0.233643|-45_0.233601|-30_0.23356|-15_0.233521|0_0.233486|15_0.233457|30_0.233434|45_0.233417|60_0.233405|75_0.2334|90_0.233399|105_0.233403|120_0.233415|135_0.233434|
[DEBUG] 4563 -135_0.233697|-120_0.233725|-105_0.233729|-90_0.233712|-75_0.233681|-60_0.233643|-45_0.233601|-30_0.23356|-15_0.233521|0_0.233486|15_0.233457|30_0.233434|45_0.233417|60_0.233405|75_0.2334|90_0.233399|105_0.233403|120_0.233415|135_0.233434|
[DEBUG] 4888 -135_0.238674|-120_0.239638|-105_0.241101|-90_0.242956|-75_0.244277|-60_0.243549|-45_0.241825|-30_0.240318|-15_0.239237|0_0.234094|15_0.234021|30_0.233957|45_0.233901|60_0.233851|75_0.233808|90_0.233771|105_0.233741|120_0.233717|135_0.233699|
[DEBUG] 4889 -135_0.238674|-120_0.239638|-105_0.241101|-90_0.242956|-75_0.244277|-60_0.243549|-45_0.241825|-30_0.240318|-15_0.239237|0_0.234094|15_0.234021|30_0.233957|45_0.233901|60_0.233851|75_0.233808|90_0.233771|105_0.233741|120_0.233717|135_0.233699|
[DEBUG] 4890 -135_0.238674|-120_0.239638|-105_0.241101|-90_0.242956|-75_0.244277|-60_0.243549|-45_0.241825|-30_0.240318|-15_0.239237|0_0.234094|15_0.234021|30_0.233957|45_0.233901|60_0.233851|75_0.233808|90_0.233771|105_0.233741|120_0.233717|135_0.233699|
[DEBUG] 4891 -135_0.238728|-120_0.239668|-105_0.241094|-90_0.242906|-75_0.244255|-60_0.243657|-45_0.241985|-30_0.24046|-15_0.239353|0_0.234129|15_0.234053|30_0.233986|45_0.233928|60_0.233877|75_0.233833|90_0.233797|105_0.233767|120_0.233744|135_0.233728|
[DEBUG] 4892 -135_0.238728|-120_0.239668|-105_0.241094|-90_0.242906|-75_0.244255|-60_0.243657|-45_0.241985|-30_0.24046|-15_0.239353|0_0.234129|15_0.234053|30_0.233986|45_0.233928|60_0.233877|75_0.233833|90_0.233797|105_0.233767|120_0.233744|135_0.233728|
[DEBUG] 4893 -135_0.238728|-120_0.239668|-105_0.241094|-90_0.242906|-75_0.244255|-60_0.243657|-45_0.241985|-30_0.24046|-15_0.239353|0_0.234129|15_0.234053|30_0.233986|45_0.233928|60_0.233877|75_0.233833|90_0.233797|105_0.233767|120_0.233744|135_0.233728|
[DEBUG] 4894 -135_0.233682|-120_0.238827|-105_0.239956|-90_0.241553|-75_0.243301|-60_0.243923|-45_0.242714|-30_0.241054|-15_0.239692|0_0.238771|15_0.233946|30_0.233869|45_0.233803|60_0.233745|75_0.233696|90_0.233654|105_0.233621|120_0.233595|135_0.233576|
[DEBUG] 4895 -135_0.233682|-120_0.238827|-105_0.239956|-90_0.241553|-75_0.243301|-60_0.243923|-45_0.242714|-30_0.241054|-15_0.239692|0_0.238771|15_0.233946|30_0.233869|45_0.233803|60_0.233745|75_0.233696|90_0.233654|105_0.233621|120_0.233595|135_0.233576|
[DEBUG] 4896 -135_0.233682|-120_0.238827|-105_0.239956|-90_0.241553|-75_0.243301|-60_0.243923|-45_0.242714|-30_0.241054|-15_0.239692|0_0.238771|15_0.233946|30_0.233869|45_0.233803|60_0.233745|75_0.233696|90_0.233654|105_0.233621|120_0.233595|135_0.233576|
[DEBUG] 4897 -135_0.233788|-120_0.238718|-105_0.239744|-90_0.241214|-75_0.242894|-60_0.243759|-45_0.242878|-30_0.241292|-15_0.239902|0_0.238929|15_0.234066|30_0.233985|45_0.233915|60_0.233855|75_0.233803|90_0.23376|105_0.233725|120_0.233698|135_0.233678|
[DEBUG] 4898 -135_0.233788|-120_0.238718|-105_0.239744|-90_0.241214|-75_0.242894|-60_0.243759|-45_0.242878|-30_0.241292|-15_0.239902|0_0.238929|15_0.234066|30_0.233985|45_0.233915|60_0.233855|75_0.233803|90_0.23376|105_0.233725|120_0.233698|135_0.233678|
[DEBUG] 4899 -135_0.233788|-120_0.238718|-105_0.239744|-90_0.241214|-75_0.242894|-60_0.243759|-45_0.242878|-30_0.241292|-15_0.239902|0_0.238929|15_0.234066|30_0.233985|45_0.233915|60_0.233855|75_0.233803|90_0.23376|105_0.233725|120_0.233698|135_0.233678|
[DEBUG] 4900 -135_0.233852|-120_0.238616|-105_0.239499|-90_0.24085|-75_0.242599|-60_0.24405|-45_0.243741|-30_0.242131|-15_0.240546|0_0.239386|15_0.238662|30_0.234081|45_0.234011|60_0.23395|75_0.233897|90_0.233853|105_0.233816|120_0.233787|135_0.233766|
[DEBUG] 4901 -135_0.233852|-120_0.238616|-105_0.239499|-90_0.24085|-75_0.242599|-60_0.24405|-45_0.243741|-30_0.242131|-15_0.240546|0_0.239386|15_0.238662|30_0.234081|45_0.234011|60_0.23395|75_0.233897|90_0.233853|105_0.233816|120_0.233787|135_0.233766|
[DEBUG] 4902 -135_0.233852|-120_0.238616|-105_0.239499|-90_0.24085|-75_0.242599|-60_0.24405|-45_0.243741|-30_0.242131|-15_0.240546|0_0.239386|15_0.238662|30_0.234081|45_0.234011|60_0.23395|75_0.233897|90_0.233853|105_0.233816|120_0.233787|135_0.233766|
