start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4143 -135_0.236297|-120_0.236304|-105_0.2364|-90_0.236555|-75_0.236749|-60_0.236981|-45_0.237252|-30_0.237566|-15_0.228225|0_0.228599|15_0.22891|30_0.229148|45_0.229306|60_0.229382|75_0.229374|90_0.229282|105_0.229108|120_0.228855|135_0.22853|
[DEBUG] 4144 -135_0.23644|-120_0.236491|-105_0.236605|-90_0.236742|-75_0.236889|-60_0.237059|-45_0.237274|-30_0.237548|-15_0.228243|0_0.228618|15_0.228931|30_0.229171|45_0.229333|60_0.229413|75_0.229409|90_0.229322|105_0.229154|120_0.228907|135_0.228588|
[DEBUG] 4145 -135_0.23644|-120_0.236491|-105_0.236605|-90_0.236742|-75_0.236889|-60_0.237059|-45_0.237274|-30_0.237548|-15_0.228243|0_0.228618|15_0.228931|30_0.229171|45_0.229333|60_0.229413|75_0.229409|90_0.229322|105_0.229154|120_0.228907|135_0.228588|
[DEBUG] 4146 -135_0.23644|-120_0.236491|-105_0.236605|-90_0.236742|-75_0.236889|-60_0.237059|-45_0.237274|-30_0.237548|-15_0.228243|0_0.228618|15_0.228931|30_0.229171|45_0.229333|60_0.229413|75_0.229409|90_0.229322|105_0.229154|120_0.228907|135_0.228588|
[DEBUG] 4147 -135_0.236191|-120_0.23627|-105_0.236418|-90_0.236584|-75_0.23674|-60_0.2369|-45_0.237092|-30_0.237337|-15_0.228226|0_0.228602|15_0.228916|30_0.229158|45_0.229321|60_0.229401|75_0.229399|90_0.229312|105_0.229144|120_0.228897|135_0.228578|
[DEBUG] 4148 -135_0.236191|-120_0.23627|-105_0.236418|-90_0.236584|-75_0.23674|-60_0.2369|-45_0.237092|-30_0.237337|-15_0.228226|0_0.228602|15_0.228916|30_0.229158|45_0.229321|60_0.229401|75_0.229399|90_0.229312|105_0.229144|120_0.228897|135_0.228578|
[DEBUG] 4149 -135_0.236191|-120_0.23627|-105_0.236418|-90_0.236584|-75_0.23674|-60_0.2369|-45_0.237092|-30_0.237337|-15_0.228226|0_0.228602|15_0.228916|30_0.229158|45_0.229321|60_0.229401|75_0.229399|90_0.229312|105_0.229144|120_0.228897|135_0.228578|
[DEBUG] 4150 -135_0.236554|-120_0.236636|-105_0.236756|-90_0.236867|-75_0.236964|-60_0.23708|-45_0.237251|-30_0.237499|-15_0.228309|0_0.228681|15_0.228993|30_0.229233|45_0.229396|60_0.229477|75_0.229477|90_0.229393|105_0.229229|120_0.228987|135_0.228674|
[DEBUG] 4151 -135_0.236554|-120_0.236636|-105_0.236756|-90_0.236867|-75_0.236964|-60_0.23708|-45_0.237251|-30_0.237499|-15_0.228309|0_0.228681|15_0.228993|30_0.229233|45_0.229396|60_0.229477|75_0.229477|90_0.229393|105_0.229229|120_0.228987|135_0.228674|
[DEBUG] 4152 -135_0.236554|-120_0.236636|-105_0.236756|-90_0.236867|-75_0.236964|-60_0.23708|-45_0.237251|-30_0.237499|-15_0.228309|0_0.228681|15_0.228993|30_0.229233|45_0.229396|60_0.229477|75_0.229477|90_0.229393|105_0.229229|120_0.228987|135_0.228674|
[DEBUG] 4153 -135_0.236465|-120_0.236553|-105_0.236689|-90_0.236819|-75_0.236927|-60_0.237041|-45_0.237199|-30_0.237426|-15_0.228376|0_0.228746|15_0.229058|30_0.229299|45_0.229464|60_0.229549|75_0.229552|90_0.229474|105_0.229316|120_0.229081|135_0.228776|
